time,signal,lin_signal
1,135,135
2,135,135
3,135,135
4,137,137
5,137,137
6,137,137
7,137,137
8,139,139
9,139,139
10,144,144
11,144,144
12,141,141
13,141,141
14,148,148
15,148,148
16,145,145
17,145,145
18,143,143
19,143,143
20,146,146
21,146,146
22,148,148
23,148,148
24,145,145
25,145,145
26,147,147
27,147,147
28,152,152
29,152,152
30,154,154
31,154,154
32,152,152
33,152,152
34,151,151
35,151,151
36,152,152
37,152,152
38,155,155
39,155,155
40,154,154
41,154,154
42,156,156
43,156,156
44,157,157
45,157,157
46,159,159
47,159,159
48,161,161
49,161,161
50,163,163
51,163,163
52,164,164
53,164,164
54,167,167
55,167,167
56,166,166
57,166,166
58,166,166
59,166,166
60,167,167
61,167,167
62,168,168
63,168,168
64,168,168
65,168,168
66,169,169
67,169,169
68,171,171
69,171,171
70,170,170
71,170,170
72,169,169
73,169,169
74,168,168
75,168,168
76,168,168
77,168,168
78,171,171
79,171,171
80,168,168
81,168,168
82,169,169
83,169,169
84,176,176
85,176,176
86,171,171
87,171,171
88,172,172
89,172,172
90,168,168
91,168,168
92,169,169
93,169,169
94,173,173
95,173,173
96,171,171
97,171,171
98,171,171
99,171,171
100,173,173
101,173,173
102,176,176
103,176,176
104,173,173
105,173,173
106,171,171
107,171,171
108,169,169
109,169,169
110,170,170
111,170,170
112,170,170
113,170,170
114,174,174
115,174,174
116,176,176
117,176,176
118,173,173
119,173,173
120,176,176
121,176,176
122,177,177
123,177,177
124,174,174
125,174,174
126,177,177
127,177,177
128,180,180
129,180,180
130,183,183
131,183,183
132,184,184
133,184,184
134,191,191
135,191,191
136,191,191
137,191,191
138,188,188
139,188,188
140,188,188
141,188,188
142,188,188
143,188,188
144,194,194
145,194,194
146,198,198
147,198,198
148,203,203
149,203,203
150,205,205
151,205,205
152,206,206
153,206,206
154,209,209
155,209,209
156,216,216
157,216,216
158,220,220
159,220,220
160,218,218
161,218,218
162,223,223
163,223,223
164,228,228
165,228,228
166,236,236
167,236,236
168,240,240
169,240,240
