time,signal
1,135
2,135
3,135
4,137
5,137
6,137
7,137
8,139
9,139
10,144
11,144
12,141
13,141
14,148
15,148
16,145
17,145
18,143
19,143
20,146
21,146
22,148
23,148
24,145
25,145
26,147
27,147
28,152
29,152
30,154
31,154
32,152
33,152
34,151
35,151
36,152
37,152
38,155
39,155
40,154
41,154
42,156
43,156
44,157
45,157
46,159
47,159
48,161
49,161
50,163
51,163
52,164
53,164
54,167
55,167
56,166
57,166
58,166
59,166
60,167
61,167
62,168
63,168
64,168
65,168
66,169
67,169
68,171
69,171
70,170
71,170
72,169
73,169
74,168
75,168
76,168
77,168
78,171
79,171
80,168
81,168
82,169
83,169
84,176
85,176
86,171
87,171
88,172
89,172
90,168
91,168
92,169
93,169
94,173
95,173
96,171
97,171
98,171
99,171
100,173
101,173
102,176
103,176
104,173
105,173
106,171
107,171
108,169
109,169
110,170
111,170
112,170
113,170
114,174
115,174
116,176
117,176
118,173
119,173
120,176
121,176
122,177
123,177
124,174
125,174
126,177
127,177
128,180
129,180
130,183
131,183
132,184
133,184
134,191
135,191
136,191
137,191
138,188
139,188
140,188
141,188
142,188
143,188
144,194
145,194
146,198
147,198
148,203
149,203
150,205
151,205
152,206
153,206
154,209
155,209
156,216
157,216
158,220
159,220
160,218
161,218
162,223
163,223
164,228
165,228
166,236
167,236
168,240
169,240
170,248
171,248
172,252
173,252
174,259
175,259
176,272
177,272
178,280
179,280
180,284
181,284
182,287
183,287
184,301
185,301
186,303
187,303
188,313
189,313
190,329
191,329
192,340
193,340
194,359
195,359
196,369
197,369
198,387
199,387
200,395
201,395
202,406
203,406
204,422
205,422
206,438
207,438
208,461
209,461
210,493
211,493
212,505
213,505
214,531
215,531
216,554
217,554
218,595
219,595
220,629
221,629
222,655
223,655
224,699
225,699
226,735
227,735
228,782
229,782
230,824
231,824
232,866
233,866
234,921
235,921
236,101
237,101
238,103
239,103
240,110
241,110
242,117
243,117
244,125
245,125
246,133
247,133
248,139
249,139
250,149
251,149
252,159
253,159
254,169
255,169
256,183
257,183
258,195
259,195
260,210
261,210
262,221
263,221
264,235
265,235
266,251
267,251
268,251
269,270
270,270
271,288
272,288
273,311
274,311
275,332
276,332
277,354
278,354
279,378
280,378
281,403
282,403
283,434
284,434
285,459
286,459
287,486
288,486
289,515
290,515
291,552
292,552
293,584
294,584
295,626
296,626
297,667
298,667
299,702
300,702
301,745
302,745
303,793
304,793
305,843
306,843
307,894
308,894
309,161
310,161
311,109
312,109
313,112
314,112
315,119
316,119
317,130
318,130
319,135
320,135
321,145
322,145
323,154
324,154
325,169
326,169
327,176
328,176
329,186
330,186
331,200
332,200
333,212
334,212
335,222
336,222
337,239
338,239
339,260
340,260
341,273
342,273
343,290
344,290
345,307
346,307
347,327
348,327
349,344
350,344
351,371
352,371
353,388
354,388
355,418
356,418
357,444
358,444
359,473
360,473
361,500
362,500
363,527
364,527
365,563
366,563
367,597
368,597
369,636
370,636
371,669
372,669
373,719
374,719
375,760
376,760
377,803
378,803
379,860
380,860
381,914
382,914
383,99
384,99
385,102
386,102
387,108
388,108
389,114
390,114
391,121
392,121
393,129
394,129
395,137
396,137
397,145
398,145
399,155
400,155
401,165
402,165
403,174
404,174
405,185
406,185
407,196
408,196
409,208
410,208
411,221
412,221
